name,lat,long
Lewis Hall,37.873009,-122.254878
Li Ka Shing Center,37.8730,-122.2654
Lower Hearst Parking Structure,37.87530,-122.26165
Lower Sproul Plaza,37.869276,-122.260285
Ludwig's Fountain,37.86957,-122.25948
Magnes Collection of Jewish Art and Life,37.86980,-122.26686
Manville Hall,37.865639,-122.267039
"Martin Luther King, Jr. Student Union",37.869137,-122.259614
Martinez Commons,37.866744,-122.257665
Mathematical Sciences Research Institute (MSRI),37.87981,-122.24434
Mathematics Statistics Library,37.873629999999999,-122.25783
Maxwell Family Field and Stadium Garage,37.87230,-122.25272
McCone Hall,37.873996,-122.259660
McLaughlin Hall,37.873829,-122.259051
Media Resources Center,37.872439999999997,-122.25955999999999
Memorial Glade,37.87308,-122.25941
Memorial Pool,37.87306,-122.26022
Minor Hall,37.871525,-122.254711
Minor Hall Addition,37.871354,-122.255141
Moffitt Library,37.872549999999997,-122.26081000000001
Moffitt Library,37.872549999999997,-122.26081000000001
Morgan Hall,37.873164,-122.264198
Morrison Hall,37.870869999999996,-122.25644
Morrison Library,37.872439999999997,-122.25955999999999
Mulford Hall,37.872639999999997,-122.26449
Natural Resources Laboratory,37.874892,-122.266862
Newspapers & Microform Library,37.872439999999997,-122.25955999999999
North Field,37.87023,-122.25667
North Gate Hall,37.874974,-122.259826
Northern Regional Library,37.917643,-122.334985
Northern Regional Library Facility,37.917643,-122.334985
O'Brien Hall,37.874483,-122.259094
Observatory Hill,37.87424,-122.26060
Office of Public Affairs,37.867410000000001,-122.265581
Old Art Gallery,37.87059,-122.25861
Oxford Research Unit,37.875366,-122.267095
Pacific Earthquake Engineering Research (PEER) Library,37.918328,-122.332485
Pacific Film Archive and Study Center,37.86871000000001,-122.255667
"Pacific Film Archive, Berkeley Art Museum and",37.870781,-122.266425
Parking and Transportation,37.871989999999997,-122.27127
Philosophy Hall,37.870989999999999,-122.25799000000001
Physics North and South,37.872489999999999,-122.25688
Physics-Astronomy Library,37.872489999999999,-122.25688
Pimentel Hall,37.87341,-122.25602000000001
Recreational Sports Facility,37.868652,-122.262897
Redwood Grove (Botanical Garden),37.87511,-122.23969
Residential & Student Services Building,37.866884,-122.255849
Sather Gate,37.87023,-122.25960
Senior Hall,37.871946,-122.255533
Simon Hall,37.86985,-122.25266000000001
Simpson Center for Student-Athlete High Performance,37.87143,-122.25220
Social Research Library,37.873739999999998,-122.26105
Social Sciences Building,37.870060000000002,-122.25791
Soda Hall,37.87567,-122.25870999999999
South Hall,37.87133,-122.25851
South/Southeast Asia Library,37.872439999999997,-122.25955999999999
"Southeast Asian Studies, Center for",37.871989999999997,-122.27127
Space Sciences Laboratory,37.88071,-122.24431
Spieker Aquatics Complex,37.868809,-122.262122
Springer Gateway,37.87185,-122.26521
Sproul Hall,37.869599999999998,-122.25878
Sproul Plaza,37.86956,-122.25905
Stanley Hall,37.87404,-122.25609
Starr East Asian Library,37.873570000000001,-122.26034
Starr East Asian Library,37.873570000000001,-122.26034
Stephens Hall,37.87124,-122.25761
Stern Hall,37.87481,-122.25553
Stow Plaza,37.87014,-122.26438
Strawberry Canyon Recreational Area,37.87203,-122.24696
Summer Session,37.871989999999997,-122.27127
Sutardja Dai Hall,37.874822,-122.258389
Tan Hall,37.873100000000001,-122.25642000000001
Tang Center,37.867555,-122.264260
The Law Building,37.86992,-122.25341
UC Berkeley Extension,37.871989999999997,-122.27127
Underhill Parking Facility & Playing Field,37.86705,-122.25492
Unit 1 Resident Hall,37.86782,-122.25512
Unit 2 Resident Hall,37.86609,-122.25477
Unit 3 Resident Hall,37.867182,-122.260358
University Hall,37.87189,-122.26635
University House,37.874536,-122.262077
Upper Hearst Parking Structure,37.87576,-122.25735
Valley Life Sciences Building,37.871479999999998,-122.26211000000001
Visual Resources Center,37.8705,-122.25488
Warren Hall,37.874307,-122.266894
Weill Hall,37.87139,-122.26325
Wellman Hall,37.872982,-122.262729
West Circle,37.87214,-122.26358
West Gate,37.87189,-122.26466
Wheeler Hall,37.871290000000002,-122.25914
Wickson Natural Area,37.873534,-122.261417
Witter Rugby Field,37.871186,-122.248722
Women's Faculty Club,37.872148,-122.254870
Woo Hon Fai Hall,37.86871000000001,-122.255667
Zellerbach Hall,37.869048,-122.261226
